# u, v, x, y, z
33,351,-2.18697452545166,0.45442453026771545,-0.10166947543621063
41,223,-2.183192014694214,0.4192444384098053,0.09236548095941544
36,135,-2.183192014694214,0.4192444384098053,0.09236548095941544
229,141,-0.9894917011260986,-0.26332882046699524,0.36188408732414246
260,250,-0.9849241375923157,-0.2248348742723465,0.5781607031822205
271,335,-0.9413874745368958,-0.21778301894664764,0.6790590286254883
551,332,-0.9937807321548462,-0.22505277395248413,-0.046378735452890396
611,396,-0.9937807321548462,-0.22505277395248413,-0.046378735452890396
522,449,-2.2070581912994385,0.032761551439762115,0.19615432620048523
431,413,-2.19098162651062,0.0060525331646203995,-0.006577813066542149
